0|1|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
0|2|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
0|3|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
0|1|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
0|2|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
0|3|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
0|1|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
0|2|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
0|3|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
1|5|Onko kissa elain?|a) ei, b) kylla|a
2|5|Onko kani kissa?|a) ehka, b) ei, c) kylla|a
0|1|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
0|2|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
0|3|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
1|5|Onko kissa elain?|a) ei, b) kylla|a
2|5|Onko kani kissa?|a) ehka, b) ei, c) kylla|a
3|6|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
4|6|kissa|pissa|miau
5|6|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
6|7|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
7|7|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
8|7|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
9|7|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
0|1|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
0|2|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
0|3|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
1|0|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
2|0|Syota kysymys|Syota vastausvaihtoehdot|Syota vastaus
